Unnamed: 0,Company Name, Location,Datum,Detail,Status Rocket, Rocket,Status Mission
0,RVSN USSR,"Cape Canaveral, FL, USA",1995-06-26 17:23,Vega,StatusRetired,97.3,Prelaunch Failure
1,RVSN USSR,"Cape Canaveral, FL, USA",2008-01-06 08:12,Proton-M,StatusRetired,,Success
2,Northrop,"Satish Dhawan Space Centre, India",1985-05-06 01:06,Soyuz,StatusRetired,135.3,Success
3,RVSN USSR,"Wenchang, China",1971-12-22 15:20,Antares,StatusRetired,54.6,Success
4,ISRO,"Jiuquan, China",1999-11-12 18:24,Soyuz,StatusActive,,Partial Failure
5,ISRO,"Baikonur Cosmodrome, Kazakhstan",1964-11-22 14:21,Soyuz,StatusRetired,285.9,Success
6,Roscosmos,"Wenchang, China",2017-03-12 10:32,Vulcan,StatusRetired,698.4,Prelaunch Failure
7,CASC,"Jiuquan, China",1977-01-10 20:38,Ariane 5,StatusRetired,82.6,Success
8,Arianespace,"Wenchang, China",1995-04-23 19:07,Proton-M,StatusRetired,,Success
9,CASC,"Plesetsk Cosmodrome, Russia",2014-02-26 09:36,Atlas V,StatusRetired,61.8,Success
10,Roscosmos,"Wenchang, China",1975-02-06 08:24,Electron,StatusRetired,25.9,Success
11,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1979-03-17 00:01,Antares,StatusActive,311.8,Partial Failure
12,Arianespace,"Cape Canaveral, FL, USA",1967-08-19 18:45,Atlas V,StatusRetired,,Failure
13,ULA,"Wenchang, China",1967-08-18 19:41,PSLV,StatusRetired,54.8,Success
14,Arianespace,"Kennedy Space Center, FL, USA",1980-12-06 08:41,New Glenn,StatusRetired,37.0,Success
15,Roscosmos,"Jiuquan, China",2009-07-24 05:16,Vega,StatusRetired,,Success
16,RVSN USSR,"Tanegashima Space Center, Japan",1992-06-19 05:03,PSLV,StatusRetired,158.2,Success
17,JAXA,"Jiuquan, China",1996-09-10 19:02,Proton-M,StatusRetired,91.5,Partial Failure
18,Northrop,"Cape Canaveral, FL, USA",1980-04-24 22:50,New Glenn,StatusRetired,,Success
19,Roscosmos,"Wenchang, China",1959-12-08 17:25,Starship,StatusRetired,319.3,Success
20,ULA,"Kennedy Space Center, FL, USA",1978-01-21 23:35,Vega,StatusRetired,12.4,Success
21,Arianespace,"Wenchang, China",2009-08-24 07:16,Starship,StatusRetired,,Success
22,RVSN USSR,"Wenchang, China",1958-07-06 04:44,Atlas V,StatusActive,,Success
23,Arianespace,"Satish Dhawan Space Centre, India",1980-07-21 00:26,H-IIA,StatusRetired,43.4,Prelaunch Failure
24,SpaceX,"Plesetsk Cosmodrome, Russia",2000-03-25 12:03,Vega,StatusRetired,21.4,Success
25,JAXA,"Baikonur Cosmodrome, Kazakhstan",1986-04-07 21:25,Long March 3B,StatusRetired,,Success
26,SpaceX,"Plesetsk Cosmodrome, Russia",1994-10-24 23:45,Long March 3B,StatusActive,45.9,Success
27,CASC,"Tanegashima Space Center, Japan",1958-09-01 02:36,Antares,StatusRetired,715.8,Failure
28,SpaceX,"Cape Canaveral, FL, USA",2020-06-27 06:32,Proton-M,StatusActive,,Success
29,SpaceX,"Wenchang, China",2016-05-18 22:11,Vulcan,StatusRetired,227.4,Success
30,SpaceX,"Vandenberg AFB, CA, USA",1977-03-24 10:23,Electron,StatusActive,134.1,Success
31,SpaceX,"Plesetsk Cosmodrome, Russia",1989-09-28 07:31,Antares,StatusRetired,,Failure
32,Northrop,"Guiana Space Centre, French Guiana",1968-05-25 05:59,PSLV,StatusActive,27.0,Failure
33,ESA,"Vandenberg AFB, CA, USA",2014-05-20 21:33,Vulcan,StatusActive,111.5,Success
34,CASC,"Plesetsk Cosmodrome, Russia",1978-04-12 18:51,Electron,StatusRetired,,Success
35,RVSN USSR,"Guiana Space Centre, French Guiana",2017-04-16 19:55,Atlas V,StatusActive,,Success
36,Arianespace,"Cape Canaveral, FL, USA",2000-12-10 13:32,Atlas V,StatusRetired,,Success
37,CASC,"Wenchang, China",1981-01-27 09:15,Falcon 9,StatusRetired,,Success
38,SpaceX,"Kennedy Space Center, FL, USA",2005-07-10 03:26,Falcon 9,StatusRetired,,Success
39,Roscosmos,"Kennedy Space Center, FL, USA",1983-09-14 10:15,Vulcan,StatusActive,95.2,Success
40,CASC,"Plesetsk Cosmodrome, Russia",2015-03-25 19:32,New Glenn,StatusRetired,271.1,Success
41,Roscosmos,"Wenchang, China",2019-12-20 15:18,Long March 3B,StatusActive,,Success
42,JAXA,"Plesetsk Cosmodrome, Russia",1998-02-10 20:21,Antares,StatusRetired,269.5,Partial Failure
43,Roscosmos,"Cape Canaveral, FL, USA",2020-03-10 08:08,Vulcan,StatusRetired,,Success
44,Roscosmos,"Guiana Space Centre, French Guiana",1984-01-26 08:26,Proton-M,StatusActive,,Success
45,MHI,"Wenchang, China",2016-06-25 16:43,Vulcan,StatusRetired,,Success
46,Arianespace,"Vandenberg AFB, CA, USA",1972-11-11 12:07,Starship,StatusActive,277.4,Failure
47,CASC,"Guiana Space Centre, French Guiana",1971-11-23 15:17,PSLV,StatusRetired,349.5,Success
48,Boeing,"Vandenberg AFB, CA, USA",2018-07-02 00:00,Atlas V,StatusRetired,41.8,Success
49,Roscosmos,"Vandenberg AFB, CA, USA",2018-11-25 11:05,Soyuz,StatusRetired,920.5,Success
50,SpaceX,"Cape Canaveral, FL, USA",2003-11-20 08:54,Delta II,StatusRetired,,Success
51,CASC,"Baikonur Cosmodrome, Kazakhstan",2018-02-08 04:58,Delta II,StatusRetired,,Success
52,ULA,"Baikonur Cosmodrome, Kazakhstan",2007-08-23 15:17,PSLV,StatusRetired,215.1,Success
53,CASC,"Wenchang, China",2000-06-07 16:17,Starship,StatusRetired,,Prelaunch Failure
54,SpaceX,"Tanegashima Space Center, Japan",2011-04-08 00:18,Atlas V,StatusRetired,169.4,Success
55,RVSN USSR,"Jiuquan, China",2008-05-01 21:07,H-IIA,StatusRetired,,Success
56,JAXA,"Baikonur Cosmodrome, Kazakhstan",2020-08-21 02:57,Vulcan,StatusRetired,343.0,Success
57,ULA,"Wenchang, China",2013-03-02 04:54,New Glenn,StatusActive,391.1,Failure
58,Northrop,"Vandenberg AFB, CA, USA",1959-03-18 07:18,Vulcan,StatusActive,,Failure
59,RVSN USSR,"Kennedy Space Center, FL, USA",1993-11-15 17:49,Long March 3B,StatusActive,31.6,Failure
60,SpaceX,"Baikonur Cosmodrome, Kazakhstan",2007-04-01 20:30,Soyuz,StatusRetired,53.6,Success
61,Arianespace,"Cape Canaveral, FL, USA",1963-01-05 00:46,PSLV,StatusActive,,Failure
62,Roscosmos,"Wenchang, China",1977-09-02 17:56,Starship,StatusRetired,112.4,Partial Failure
63,ISRO,"Jiuquan, China",1965-08-20 06:15,Delta II,StatusRetired,,Success
64,SpaceX,"Plesetsk Cosmodrome, Russia",1995-08-03 15:46,Electron,StatusRetired,,Partial Failure
65,Virgin Orbit,"Tanegashima Space Center, Japan",1974-10-19 05:40,H-IIA,StatusRetired,,Partial Failure
66,ULA,"Vandenberg AFB, CA, USA",1960-06-18 06:13,Electron,StatusActive,119.3,Prelaunch Failure
67,CASC,"Vandenberg AFB, CA, USA",1981-07-22 10:52,Vega,StatusRetired,,Failure
68,Arianespace,"Plesetsk Cosmodrome, Russia",2016-06-18 15:24,PSLV,StatusRetired,,Failure
69,SpaceX,"Baikonur Cosmodrome, Kazakhstan",1970-09-14 05:21,Falcon 9,StatusRetired,26.2,Success
70,ISRO,"Kennedy Space Center, FL, USA",2006-03-24 15:51,Vulcan,StatusRetired,,Success
71,MHI,"Plesetsk Cosmodrome, Russia",2014-03-08 15:11,Falcon 9,StatusActive,48.3,Success
72,CASC,"Kennedy Space Center, FL, USA",1965-03-12 16:36,Electron,StatusRetired,,Success
73,MHI,"Vandenberg AFB, CA, USA",1982-10-21 12:07,Ariane 5,StatusActive,107.1,Failure
74,ISRO,"Jiuquan, China",2009-03-10 23:04,PSLV,StatusRetired,144.1,Success
75,ULA,"Baikonur Cosmodrome, Kazakhstan",1958-09-23 11:40,Proton-M,StatusActive,92.0,Success
76,Northrop,"Wenchang, China",1976-12-20 02:34,Proton-M,StatusRetired,,Failure
77,CASC,"Vandenberg AFB, CA, USA",1984-04-17 00:56,Soyuz,StatusActive,35.8,Partial Failure
78,Roscosmos,"Plesetsk Cosmodrome, Russia",2003-07-11 21:49,Long March 3B,StatusRetired,303.0,Failure
79,SpaceX,"Kennedy Space Center, FL, USA",2016-09-02 23:43,Atlas V,StatusActive,,Success
80,Northrop,"Kennedy Space Center, FL, USA",1963-11-26 08:40,Soyuz,StatusRetired,,Failure
81,SpaceX,"Vandenberg AFB, CA, USA",2000-12-26 17:49,Vega,StatusRetired,,Partial Failure
82,ISRO,"Vandenberg AFB, CA, USA",2017-07-04 06:26,PSLV,StatusActive,284.0,Success
83,ISRO,"Jiuquan, China",1964-09-01 03:44,Ariane 5,StatusActive,186.3,Prelaunch Failure
84,Arianespace,"Jiuquan, China",2003-12-15 16:55,Vulcan,StatusRetired,,Success
85,CASC,"Satish Dhawan Space Centre, India",1991-03-13 01:45,Proton-M,StatusActive,,Failure
86,ULA,"Plesetsk Cosmodrome, Russia",1970-04-08 02:04,Electron,StatusRetired,,Failure
